SR. NO.,Tehsil,Qanoongoi,Mauza,Classification,Location,Square No,Killa No,Khasra No,DC Rate,Unit,Structure Rate
15532,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,71-115,25,,37852,Marla,780
15533,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,28-36;36-61;38-68,5,,37852,Marla,780
15534,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,30-36;38-61,6,,37852,Marla,780
15535,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,29-34;29-36,7,,37852,Marla,780
15536,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,29-49;63-74,9,,37852,Marla,780
15537,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,21-25,10-11;22-23,,37852,Marla,780
15538,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,38-58,7;3-4,,37852,Marla,780
15539,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,28-48,19;23,,37852,Marla,780
15540,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,84-115,6;18;2-4;23-24;13-15,,37852,Marla,780
15541,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,29-33,2;9-11,,37852,Marla,780
15542,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,30-33,3;12;20-21,,37852,Marla,780
15543,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,30-34,4;18;13-14,,37852,Marla,780
15544,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,28-34,5;16,,37852,Marla,780
15545,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,28-49,8;16,,37852,Marla,780
15546,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,63-68,1;10;12;18;23,,37852,Marla,780
15547,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,64-68,6;24;3-4;13-15,,37852,Marla,780
15548,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,72-115,5;7;19;16-17,,37852,Marla,780
15549,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,28-33;70-74,8;19,,37852,Marla,780
15550,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,36-48,18;20-21,,37852,Marla,780
15551,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,77-81,1;3;10;18;12-13,,37852,Marla,780
15552,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,52-58,18;20-21;23-24;10-15,,37852,Marla,780
15553,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,36-49,1;7;10-14,,37852,Marla,780
15554,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,21-26,19;7-8;14-15,,37852,Marla,780
15555,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,83-115,10;12,,37852,Marla,780
15556,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,60-70,20-21,,37852,Marla,780
15557,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,6;9-10,25-Jan,,37852,Marla,780
15558,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,52-61,1;19;25;7-9;16-17,,37852,Marla,780
15559,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,28-25,22-23,,37852,Marla,780
15560,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,60-61,10;18;2-4;23-24;12-15,,37852,Marla,780
15561,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,29-48;29-58,17;25,,37852,Marla,780
15562,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,60-68,11;19;25;7-9;16-17,,37852,Marla,780
15563,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,77-115,11;20-21;8-9,,37852,Marla,780
15564,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,72-74,18;23;10-13;2-3;20-21,,37852,Marla,780
15565,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,16-17,16-Nov,,56008,Marla,780
15566,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,16-18,22;17-20,,56008,Marla,780
15567,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,36-58,16;19;8-9,,37852,Marla,780
15568,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,24-26,5-Mar,,37852,Marla,780
15569,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,72-81,4;6;24;14-15;8-9,,37852,Marla,780
15570,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,29-25,2;10-11,,37852,Marla,780
15571,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,64-81,5;7;16;25,,37852,Marla,780
15572,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,21-24,"6;9;12-13;16-18;20-
21;24-25",,37852,Marla,780
15573,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,64-70,8;17,,37852,Marla,780
15574,Depal Pur,Jahangeer Abad,Mallikay,Agricultural,Link Road,22-34,25-Jan,,3510598,Acre,510
15575,Depal Pur,Jahangeer Abad,Mallikay,Agricultural,Off Road,21-Jan,25-Jan,,3153338,Acre,470
15576,Depal Pur,Jahangeer Abad,Mallikay,Residential,Link Road,22-34,25-Jan,,44100,Marla,780
15577,Depal Pur,Jahangeer Abad,Mallikay,Residential,Off Road,12,24-25,,57096,Marla,780
15578,Depal Pur,Jahangeer Abad,Mallikay,Residential,Off Road,13,21/3,,57096,Marla,780
15579,Depal Pur,Jahangeer Abad,Mallikay,Residential,Off Road,1-11;13-21,24-25,,44100,Marla,780
15580,Depal Pur,Jahangeer Abad,Mallikay,Residential,Off Road,21-Jan,23-Jan,,44100,Marla,780
15581,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,100,2;4;12;8-10,,1863694,Acre,470
15582,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,103,2;9;12;14;23;18-19,,1863694,Acre,470
15583,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,105,7;15,,1863694,Acre,470
15584,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,106,9;12;23;25;4-5;16-19,,2460184,Acre,510
15585,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,106,9;12;23;25;4-5;16-19,,1863694,Acre,470
15586,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,20,15;17,,2460184,Acre,510
15587,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,20,1;19;23,,1863694,Acre,470
15588,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,21,10;12;14;16;21;25;4-6,,1863694,Acre,470
15589,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,21,4;10;12;21,,2460184,Acre,510
15590,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,22,15;17;19,,2460184,Acre,510
15591,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,22,15;17;19,,1863694,Acre,470
15592,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,24,7;14-17,,2460184,Acre,510
15593,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,24,4;14-17,,1863694,Acre,470
15594,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,28,"1-2;14-16;18-21;23-24;6-
8",,1863694,Acre,470
15595,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,29,17;25;4-5;10-13,,2460184,Acre,510
15596,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,30,3;9;18;20;22,,1863694,Acre,470
15597,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,31,15;25,,2460184,Acre,510
15598,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,31,15;25,,1863694,Acre,470
15599,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,36,"20;22;24-25;7-8;10-11;2-
4",,1863694,Acre,470
15600,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,39,2;10;13-14;23-25;7-8,,1863694,Acre,470
15601,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,42,4;6;12;18;24;9-10,,1863694,Acre,470
15602,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,44,25,,1863694,Acre,470
15603,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,47,"1;11-12;14-15;19-22;24-
25;3-9",,2460184,Acre,510
15604,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,48,2;10;13;23;16-18,,1863694,Acre,470
15605,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,49,19-22,,1863694,Acre,470
15606,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,56,7;15-17;3-5,,1863694,Acre,470
15607,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,56,7;15-17;3-5,,2460184,Acre,510
15608,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,70,16;24-25,,1863694,Acre,470
15609,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,70,16;24-25,,2460184,Acre,510
15610,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,72,5,,1863694,Acre,470
15611,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,74,2;5;13;18-19;24-25;8-11,,1863694,Acre,470
15612,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,78,9;11;16;19;24-25;1-2,,1863694,Acre,470
15613,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,79,12;15;23;20-21,,2460184,Acre,510
15614,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,80,7;9-10;16-18;3-5,,1863694,Acre,470
15615,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,81,15;20;24,,1863694,Acre,470
15616,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,81,15;20;24,,2460184,Acre,510
15617,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,82,3;7;9;25,,1863694,Acre,470
15618,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,85,11;14;17;23;25;6-7;20-21,,1863694,Acre,470
15619,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,88,2;8-9;19-21,,1863694,Acre,470
15620,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,89,7;25;11-12,,1863694,Acre,470
15621,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,89,7;25;11-12,,2460184,Acre,510
15622,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,90,1;6;8;17;20;23,,2460184,Acre,510
15623,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,90,1;6;8;17;20;23,,1863694,Acre,470
15624,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,91,10;19,,2460184,Acre,510
15625,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,91,10;19,,1863694,Acre,470
15626,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,92,1;12;20;23;5-6,,1863694,Acre,470
15627,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,95,1;3;11;14,,1863694,Acre,470
15628,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,96,2;7-8,,1863694,Acre,470
15629,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,96,2;7-8,,2460184,Acre,510
15630,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,97,13-14;4-5,,2460184,Acre,510
15631,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,97,13-14;4-5,,1863694,Acre,470
15632,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,98,2;12;19,,1863694,Acre,470
15633,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,98,2;12;19,,2460184,Acre,510
15634,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,97-99,1,,1863694,Acre,470
15635,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,78-81;92-95;97-99,1,,2460184,Acre,510
15636,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,95-98,10,,1863694,Acre,470
15637,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,93-98,10,,2460184,Acre,510
15638,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,95-96,12,,1863694,Acre,470
15639,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,92-96,12,,2460184,Acre,510
15640,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,89-91,14,,1863694,Acre,470
15641,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,79-81;89-91,14,,2460184,Acre,510
15642,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,90-92,15,,1863694,Acre,470
15643,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,26-30,18,,2460184,Acre,510
15644,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,81-84,2,,2460184,Acre,510
15645,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,81-82,2,,1863694,Acre,470
15646,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,27-30,20,,2460184,Acre,510
15647,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,27-29,21,,2460184,Acre,510
15648,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,27;77-79;86-89,22,,2460184,Acre,510
15649,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,77-78;88-89,22,,1863694,Acre,470
15650,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,42-43,24,,2460184,Acre,510
15651,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,103-106;88-91,3,,1863694,Acre,470
15652,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,101-106;86-91,3,,2460184,Acre,510
15653,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,24-27;89-94,4,,2460184,Acre,510
15654,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,89-92,4,,1863694,Acre,470
15655,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,101-104;25-27;72-75,5,,2460184,Acre,510
15656,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,25;39-40,6,,1863694,Acre,470
15657,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,25-29;37-40;79-87,6,,2460184,Acre,510
15658,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,105;41-44,7,,2460184,Acre,510
15659,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,41-42,7,,1863694,Acre,470
15660,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,100-104,8,,2460184,Acre,510
15661,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,97-98,9,,2460184,Acre,510
15662,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,97-98,9,,1863694,Acre,470
15663,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,16-18,13-18;3-4;7-8,,2460184,Acre,510
15664,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,90-91,13;16;24,,2460184,Acre,510
15665,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,96-97,6;15,,1863694,Acre,470
15666,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,36-38,11;20;22;3-4,,2460184,Acre,510
15667,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,21-22,2;9;22,,2460184,Acre,510
15668,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,26-27,3;17;25;9-13,,2460184,Acre,510
15669,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,37-39,23;13-14,,2460184,Acre,510
15670,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,82-87,7;25,,2460184,Acre,510
15671,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,29-30,3;9;22,,2460184,Acre,510
15672,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,93-95,3;14,,2460184,Acre,510
15673,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,78-80,9;16,,2460184,Acre,510
15674,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,16-22,11;20;24,,2460184,Acre,510
15675,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,43-44,"5;8;11;25;1-3;13-17;19-
23",,2460184,Acre,510
15676,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,83-88,20-21,,2460184,Acre,510
15677,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,93-94,"2;11;13;16-19;21-22;24-
25;7-8",,2460184,Acre,510
15678,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,42-44,4;6;12;18;9-10,,2460184,Acre,510
15679,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,20-21,6;14;16,,2460184,Acre,510
15680,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,36-39,2;10;24-25;7-8,,2460184,Acre,510
15681,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,105-106,2;6;15,,2460184,Acre,510
15682,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,20-22,5;13;7-8,,2460184,Acre,510
15683,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,96-97,6;15,,2460184,Acre,510
15684,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,78-79,2;11;19;24-25,,2460184,Acre,510
15685,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,100-103,2;9;12,,2460184,Acre,510
15686,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,89-90,5;18,,1863694,Acre,470
15687,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,50-51,1-18;23-25,,2460184,Acre,510
15688,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,49-51,19-22,,2460184,Acre,510
15689,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,20-22,11;13;20;24,,1863694,Acre,470
15690,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,103-104,5;8,,1863694,Acre,470
15691,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,16-19,2;12;21-22;9-10,,2460184,Acre,510
15692,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,83-87,11;14;17;23,,2460184,Acre,510
15693,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,101-103,14;23;18-19,,2460184,Acre,510
15694,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,80-82,6;8;13,,1863694,Acre,470
15695,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,86-88,2;19;8-9,,2460184,Acre,510
15696,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,47-48,2;10;13;23;16-18,,2460184,Acre,510
15697,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,16-21,1;25,,2460184,Acre,510
15698,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,79-80,7;10;17-18;3-5,,2460184,Acre,510
15699,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,79-84,8;13,,2460184,Acre,510
15700,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,37-38,1;5;9;12;21;15-19,,2460184,Acre,510
15701,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,83-84,"1;10;12;22;24;4-5;15-
16;18-19",,2460184,Acre,510
15702,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,86-87,"1;10;18;24;4-5;12-13;15-
16",,2460184,Acre,510
15703,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,101-102,"1;11;13;15-17;20-22;24-
25;6-7",,2460184,Acre,510
15704,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,100-102,4;10,,2460184,Acre,510
15705,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,21-22,2;22;7-9,,1863694,Acre,470
15706,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,16-17,6-May,,2460184,Acre,510
15707,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,26-29,19;23-24;7-8;1-2;14-16,,2460184,Acre,510
15708,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,90-91,9;13;16;24,,1863694,Acre,470
15709,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,90-94,9;15,,2460184,Acre,510
15710,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,73-75,2;13;18-19;24-25;8-11,,2460184,Acre,510
15711,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,92-94,20;23;5-6,,2460184,Acre,510
15712,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,82-84,3;9,,2460184,Acre,510
15713,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,16-20,19;23,,2460184,Acre,510
15714,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,73;75,1;12;14-17;20-23;3-4;6-7,,2460184,Acre,510
15715,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,80-81,1;14,,1863694,Acre,470
15716,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,105-106,2;6,,1863694,Acre,470
15717,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Link Road,89-90,5;18,,2460184,Acre,510
15718,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,1,22-Jan,,1863694,Acre,470
15719,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,100,1,,1863694,Acre,470
15720,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,100,1;3;11;13-14;19-21;5-7,,2460184,Acre,510
15721,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,103,13;15-17;24-25,,2460184,Acre,510
15722,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,104,14,,2460184,Acre,510
15723,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,104,2,,1863694,Acre,470
15724,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,106,20;22;24;7-8;10-11;13-14,,2460184,Acre,510
15725,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,11,9,,1863694,Acre,470
15726,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,12,"14/1;14/2;21/1;21/2;21/3;
21/4;3/1;3/2;4/1;4/2;5/1;5
/2;6/1;6/2;9/1",,1863694,Acre,470
15727,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,13,9;14;21;3-4,,1863694,Acre,470
15728,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,20,2;12;21-22;9-10,,1863694,Acre,470
15729,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,20,12;21-22;9-10,,2460184,Acre,510
15730,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,21,15;17;19,,2460184,Acre,510
15731,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,21,15;17;19;1/1;1/2,,1863694,Acre,470
15732,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,22,1;4;6;10;12;14;16;21;25,,2460184,Acre,510
15733,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,23,"2;11;13;15;17;22;7-9;19-
20",,1863694,Acre,470
15734,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,24,24-25;5-6,,2460184,Acre,510
15735,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,24,7/1;7/2,,1863694,Acre,470
15736,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,25,1-3;6/1;6/2;7-23,,1863694,Acre,470
15737,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,28,17;22;25;3-5;9-13,,2460184,Acre,510
15738,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,28,17;22;25;3-5;9-13,,1863694,Acre,470
15739,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,30,8;19;21;23;1-2;10-13,,2460184,Acre,510
15740,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,30,"17;19;21;23-25;4-8;1-
2;10-15",,1863694,Acre,470
15741,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,31,16,,2460184,Acre,510
15742,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,32,17;20/1;20/2;1-8;13-15,,1863694,Acre,470
15743,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,33,19;22-23,,1863694,Acre,470
15744,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,34,"19/1;19/2;22/1;22/2;23/1;
23/2",,1863694,Acre,470
15745,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,36,1;9;21;23;12-14;17-19,,2460184,Acre,510
15746,Depal Pur,Jahangeer Abad,Mathela Bhadaal,Agricultural,Off Road,39,1;3;9;22;11-12;15-19,,2460184,Acre,510
